"Label (Grouping)","United States!!Households!!Estimate","United States!!Households!!Margin of Error","United States!!Families!!Estimate","United States!!Families!!Margin of Error","United States!!Married-couple families!!Estimate","United States!!Married-couple families!!Margin of Error","United States!!Nonfamily households!!Estimate","United States!!Nonfamily households!!Margin of Error"
"Total","131,332,360","±130,190","84,045,684","±133,737","61,421,188","±171,809","47,286,676","±110,194"
"    Less than $10,000","5.3%","±0.1","3.2%","±0.1","1.4%","±0.1","9.9%","±0.1"
"    $10,000 to $14,999","3.5%","±0.1","1.7%","±0.1","0.9%","±0.1","6.9%","±0.1"
"    $15,000 to $24,999","6.4%","±0.1","4.0%","±0.1","2.4%","±0.1","11.3%","±0.1"
"    $25,000 to $34,999","6.8%","±0.1","5.1%","±0.1","3.4%","±0.1","10.3%","±0.1"
"    $35,000 to $49,999","10.3%","±0.1","8.8%","±0.1","6.7%","±0.1","13.8%","±0.1"
"    $50,000 to $74,999","16.1%","±0.1","15.3%","±0.1","13.7%","±0.1","17.7%","±0.1"
"    $75,000 to $99,999","12.7%","±0.1","13.7%","±0.1","13.9%","±0.1","10.5%","±0.1"
"    $100,000 to $149,999","17.4%","±0.1","20.6%","±0.1","23.2%","±0.1","10.7%","±0.1"
"    $150,000 to $199,999","9.1%","±0.1","11.4%","±0.1","13.8%","±0.1","4.2%","±0.1"
"    $200,000 or more","12.4%","±0.1","16.2%","±0.1","20.5%","±0.1","4.7%","±0.1"
"Median income (dollars)","77,719","±186","96,401","±223","113,728","±232","47,090","±153"
"Mean income (dollars)","109,160","±199","129,171","±271","149,568","±283","68,335","±249"
"PERCENT ALLOCATED","","","","","","","",""
"    Household income in the past 12 months","37.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","39.4%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","32.2%","(X)"
